"year","parameter","site_no","val"
"2012","00010","01311143",14.8919889502762
"2012","00300","01310740",8.17827380952381
"2012","00300","01311143",8.12734806629834
"2012","62361","01310740",5.2360119047619
"2012","62361","01311143",11.0495844875346
"2012","62619","01302250",4.08653005464481
"2012","62619","01302600",2.19795081967213
"2012","62619","01302845",2.00180327868852
"2012","62619","01304057",2.1677868852459
"2012","62619","01309225",1.38696721311475
"2012","62619","01310521",1.3042349726776
"2012","62619","01310740",1.28106557377049
"2012","62619","01311143",1.42918032786885
"2012","62619","01311145",1.0748087431694
"2012","62619","01311850",1.10333333333333
"2012","62619","01311875",1.11355191256831
"2012","63680","01310740",4.42805970149254
"2012","90860","01302250",24.4775956284153
"2012","90860","01302845",23.7426229508197
"2012","90860","01304057",26.8578431372549
"2012","90860","01310740",31.0451038575668
"2012","90860","01311143",29.2318681318681
"2013","00010","01302250",13.4602739726027
"2013","00010","01302845",12.7243835616438
"2013","00010","01304057",12.4623626373626
"2013","00010","01304200",12.7903409090909
"2013","00010","01304562",13.8596100278552
"2013","00010","01310740",14.2209059233449
"2013","00010","01311143",12.380547112462
"2013","00300","01304057",9.24065934065934
"2013","00300","01304200",9.03593314763231
"2013","00300","01304562",7.90949720670391
"2013","00300","01310740",8.56280193236715
"2013","00300","01311143",8.79416909620991
"2013","62361","01304562",15.3824512534819
"2013","62361","01310740",5.90944206008584
"2013","62619","01302250",4.06489010989011
"2013","62619","01302600",1.99175342465753
"2013","62619","01302845",1.93021917808219
"2013","62619","01304057",2.05241095890411
"2013","62619","01304200",0.834876712328767
"2013","62619","01304562",0.759113573407202
"2013","62619","01309225",1.31709589041096
"2013","62619","01310521",1.19975342465753
"2013","62619","01310740",1.13978082191781
"2013","62619","01311143",1.28328767123288
"2013","62619","01311145",0.986821917808219
"2013","62619","01311850",1.00438356164384
"2013","62619","01311875",1.01060273972603
"2013","63680","01304057",5.31797752808989
"2013","63680","01304200",2.71878453038674
"2013","63680","01304562",14.6255747126437
"2013","63680","01310740",9.26746987951807
"2013","90860","01302250",25.4335164835165
"2013","90860","01302845",24.1783561643836
"2013","90860","01304057",28.3815217391304
"2013","90860","01304200",29.4487465181058
"2013","90860","01304562",26.283008356546
"2013","90860","01310740",31.2442105263158
"2013","90860","01311143",30.107476635514
"2014","00010","01302250",13.3012012012012
"2014","00010","01302845",12.073698630137
"2014","00010","01304057",12.058904109589
"2014","00010","01304200",14.2284280936455
"2014","00010","01304562",14.7649180327869
"2014","00010","01310740",12.4457534246575
"2014","00010","01311143",12.9724242424242
"2014","00300","01304057",9.20246575342466
"2014","00300","01304200",8.89830508474576
"2014","00300","01304562",7.25148514851485
"2014","00300","01310740",8.71260273972603
"2014","00300","01311143",8.6033033033033
"2014","62361","01304562",18.9897009966777
"2014","62361","01310740",4.00058651026393
"2014","62619","01302250",3.9472602739726
"2014","62619","01302600",2.04227397260274
"2014","62619","01302845",1.95216438356164
"2014","62619","01304057",2.03646575342466
"2014","62619","01304200",0.896940509915014
"2014","62619","01304562",0.828611898016997
"2014","62619","01309225",1.41802739726027
"2014","62619","01310521",1.24657534246575
"2014","62619","01310740",1.21346153846154
"2014","62619","01311143",1.29778082191781
"2014","62619","01311145",1.00830555555556
"2014","62619","01311850",1.05038356164384
"2014","62619","01311875",1.05167123287671
"2014","63680","01304057",4.12457627118644
"2014","63680","01304200",2.56788321167883
"2014","63680","01304562",6.39831081081081
"2014","63680","01310740",5.21433691756272
"2014","63680","01311143",2.95838323353293
"2014","90860","01302250",25.5795795795796
"2014","90860","01302845",24.3145205479452
"2014","90860","01304057",27.0701369863014
"2014","90860","01304200",29.2751724137931
"2014","90860","01304562",26.1875
"2014","90860","01310740",31.3146005509642
"2014","90860","01311143",29.1604501607717
"2015","00010","01302250",13.1895890410959
"2015","00010","01302845",12.6301369863014
"2015","00010","01304057",12.5112328767123
"2015","00010","01304200",12.7380821917808
"2015","00010","01304562",14.2674931129477
"2015","00010","01310740",13.1144444444444
"2015","00010","01311143",13.5446575342466
"2015","00010","01311875",13.0728862973761
"2015","00300","01304057",9.08166666666667
"2015","00300","01304200",9.09093406593407
"2015","00300","01304562",7.60821917808219
"2015","00300","01310740",8.8225
"2015","00300","01311143",8.83042253521127
"2015","62361","01304562",15.7729483282675
"2015","62361","01310740",7.51058823529412
"2015","62619","01302250",3.82391780821918
"2015","62619","01302600",2.00569863013699
"2015","62619","01302845",1.88898630136986
"2015","62619","01304057",1.92358904109589
"2015","62619","01304200",0.787671232876712
"2015","62619","01304562",0.694027397260274
"2015","62619","01309225",1.26293150684931
"2015","62619","01310521",1.15504109589041
"2015","62619","01310740",1.05871866295265
"2015","62619","01311143",1.21819178082192
"2015","62619","01311145",0.91027397260274
"2015","62619","01311850",0.951780821917808
"2015","62619","01311875",0.963452054794521
"2015","63680","01304057",4.45346260387812
"2015","63680","01304200",2.77095890410959
"2015","63680","01304562",9.77742857142857
"2015","63680","01310740",5.41404682274247
"2015","63680","01311143",3.09175824175824
